cereal_name,type,number_of_calories,price,store_name,store_country_iso,manufacturer_name,manufacture_country_iso,ingredient_name,is_vegan,is_gluten_free,is_allergens_free
Nesquik,Chocolate balls,369,77.31,Konzum,HR,Nestle,CH,Soy,t,t,f
Nesquik,Chocolate balls,369,77.31,Konzum,HR,Nestle,CH,Cacao powder,t,t,t
Nesquik,Chocolate balls,369,77.31,Konzum,HR,Nestle,CH,Rape oil,t,t,t
Nesquik,Chocolate balls,369,77.31,Konzum,HR,Nestle,CH,Honey,f,t,f
Nesquik,Chocolate balls,369,77.31,Konzum,HR,Nestle,CH,Milk,f,t,f
Nesquik,Chocolate balls,369,77.31,Konzum,HR,Nestle,CH,Nuts,t,t,f
Nesquik,Chocolate balls,369,77.31,Konzum,HR,Nestle,CH,Peanuts,t,t,f
Nesquik,Chocolate balls,369,77.31,Konzum,HR,Nestle,CH,Salt,t,t,f
Nesquik,Chocolate balls,369,77.31,Konzum,HR,Nestle,CH,Glucose syrup,t,t,t
Nesquik,Chocolate balls,369,77.31,Konzum,HR,Nestle,CH,Corn grits,t,t,t
Nesquik,Chocolate balls,369,77.31,Konzum,HR,Nestle,CH,Sugar,f,t,t
Nesquik,Chocolate balls,369,77.31,Konzum,HR,Nestle,CH,Wheat flour,t,f,f
Lumpi honey rings,Honey rings,393,60,Konzum,HR,Konzum,HR,Cinnamon,t,t,f
Lumpi honey rings,Honey rings,393,60,Konzum,HR,Konzum,HR,Barley malt extract,t,f,t
Lumpi honey rings,Honey rings,393,60,Konzum,HR,Konzum,HR,Rape oil,t,t,t
Lumpi honey rings,Honey rings,393,60,Konzum,HR,Konzum,HR,Honey,f,t,f
Lumpi honey rings,Honey rings,393,60,Konzum,HR,Konzum,HR,Milk,f,t,f
Lumpi honey rings,Honey rings,393,60,Konzum,HR,Konzum,HR,Nuts,t,t,f
Lumpi honey rings,Honey rings,393,60,Konzum,HR,Konzum,HR,Peanuts,t,t,f
Lumpi honey rings,Honey rings,393,60,Konzum,HR,Konzum,HR,Salt,t,t,f
Lumpi honey rings,Honey rings,393,60,Konzum,HR,Konzum,HR,Glucose syrup,t,t,t
Lumpi honey rings,Honey rings,393,60,Konzum,HR,Konzum,HR,Corn grits,t,t,t
Lumpi honey rings,Honey rings,393,60,Konzum,HR,Konzum,HR,Sugar,f,t,t
Lumpi honey rings,Honey rings,393,60,Konzum,HR,Konzum,HR,Wheat flour,t,f,f
Crunchy chocolate & nut oat muesli,Choco muesli,458,45,Lidl,HR,Crownfield,DE,Cacao powder,t,t,t
Crunchy chocolate & nut oat muesli,Choco muesli,458,45,Lidl,HR,Crownfield,DE,Wheat flour,t,f,f
Crunchy chocolate & nut oat muesli,Choco muesli,458,45,Lidl,HR,Crownfield,DE,Sugar,f,t,t
Crunchy chocolate & nut oat muesli,Choco muesli,458,45,Lidl,HR,Crownfield,DE,Corn grits,t,t,t
Crunchy chocolate & nut oat muesli,Choco muesli,458,45,Lidl,HR,Crownfield,DE,Glucose syrup,t,t,t
Crunchy chocolate & nut oat muesli,Choco muesli,458,45,Lidl,HR,Crownfield,DE,Salt,t,t,f
Crunchy chocolate & nut oat muesli,Choco muesli,458,45,Lidl,HR,Crownfield,DE,Peanuts,t,t,f
Crunchy chocolate & nut oat muesli,Choco muesli,458,45,Lidl,HR,Crownfield,DE,Nuts,t,t,f
Crunchy chocolate & nut oat muesli,Choco muesli,458,45,Lidl,HR,Crownfield,DE,Milk,f,t,f
Crunchy chocolate & nut oat muesli,Choco muesli,458,45,Lidl,HR,Crownfield,DE,Honey,f,t,f
Crunchy chocolate & nut oat muesli,Choco muesli,458,45,Lidl,HR,Crownfield,DE,Almonds,t,t,f
Crunchy chocolate & nut oat muesli,Choco muesli,458,45,Lidl,HR,Crownfield,DE,Rape oil,t,t,t
Crunchy chocolate & nut oat muesli,Choco muesli,458,45,Lidl,HR,Crownfield,DE,Barley malt extract,t,f,t
Crunchy chocolate & nut oat muesli,Choco muesli,458,45,Lidl,HR,Crownfield,DE,Corn,t,t,f
Crunchy chocolate & nut oat muesli,Choco muesli,458,45,Lidl,HR,Crownfield,DE,Soy,t,t,f
Choco moons,Chocolate balls,366,52,Lidl,HR,Crownfield,DE,Nuts,t,t,f
Choco moons,Chocolate balls,366,52,Lidl,HR,Crownfield,DE,Cacao powder,t,t,t
Choco moons,Chocolate balls,366,52,Lidl,HR,Crownfield,DE,Wheat flour,t,f,f
Choco moons,Chocolate balls,366,52,Lidl,HR,Crownfield,DE,Sugar,f,t,t
Choco moons,Chocolate balls,366,52,Lidl,HR,Crownfield,DE,Corn grits,t,t,t
Choco moons,Chocolate balls,366,52,Lidl,HR,Crownfield,DE,Glucose syrup,t,t,t
Choco moons,Chocolate balls,366,52,Lidl,HR,Crownfield,DE,Salt,t,t,f
Choco moons,Chocolate balls,366,52,Lidl,HR,Crownfield,DE,Peanuts,t,t,f
Choco moons,Chocolate balls,366,52,Lidl,HR,Crownfield,DE,Milk,f,t,f
Choco moons,Chocolate balls,366,52,Lidl,HR,Crownfield,DE,Honey,f,t,f
Choco moons,Chocolate balls,366,52,Lidl,HR,Crownfield,DE,Rape oil,t,t,t
Choco moons,Chocolate balls,366,52,Lidl,HR,Crownfield,DE,Soy,t,t,f
Crunchy white chocolate & strawberry muesli,Fruit muesli,463,45,Lidl,HR,Crownfield,DE,Rape oil,t,t,t
Crunchy white chocolate & strawberry muesli,Fruit muesli,463,45,Lidl,HR,Crownfield,DE,Corn,t,t,f
Crunchy white chocolate & strawberry muesli,Fruit muesli,463,45,Lidl,HR,Crownfield,DE,Barley malt extract,t,f,t
Crunchy white chocolate & strawberry muesli,Fruit muesli,463,45,Lidl,HR,Crownfield,DE,Soy,t,t,f
Crunchy white chocolate & strawberry muesli,Fruit muesli,463,45,Lidl,HR,Crownfield,DE,Almonds,t,t,f
Crunchy white chocolate & strawberry muesli,Fruit muesli,463,45,Lidl,HR,Crownfield,DE,Honey,f,t,f
Crunchy white chocolate & strawberry muesli,Fruit muesli,463,45,Lidl,HR,Crownfield,DE,Strawberry,t,t,f
Crunchy white chocolate & strawberry muesli,Fruit muesli,463,45,Lidl,HR,Crownfield,DE,Milk,f,t,f
Crunchy white chocolate & strawberry muesli,Fruit muesli,463,45,Lidl,HR,Crownfield,DE,Nuts,t,t,f
Crunchy white chocolate & strawberry muesli,Fruit muesli,463,45,Lidl,HR,Crownfield,DE,Peanuts,t,t,f
Crunchy white chocolate & strawberry muesli,Fruit muesli,463,45,Lidl,HR,Crownfield,DE,Salt,t,t,f
Crunchy white chocolate & strawberry muesli,Fruit muesli,463,45,Lidl,HR,Crownfield,DE,Glucose syrup,t,t,t
Crunchy white chocolate & strawberry muesli,Fruit muesli,463,45,Lidl,HR,Crownfield,DE,Corn grits,t,t,t
Crunchy white chocolate & strawberry muesli,Fruit muesli,463,45,Lidl,HR,Crownfield,DE,Sugar,f,t,t
Crunchy white chocolate & strawberry muesli,Fruit muesli,463,45,Lidl,HR,Crownfield,DE,Wheat flour,t,f,f
Crunchy white chocolate & strawberry muesli,Fruit muesli,463,45,Lidl,HR,Crownfield,DE,Cacao powder,t,t,t
